q_true,b_true,mu_true,n,rep,method,q_hat,b_hat,success,at_bound,at_start,occupied_bins,objective,nfev,seconds,message
1.4,2.0,0.0,2000,0,qlog,1.7511457215206334,2.8362722315666087,True,False,False,28,2.2953524617435397,51,0.008946002000811859,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,0,cdf,1.4400147203977274,2.048785060871321,True,False,False,28,0.0001071037884288432,15,0.017285529000218958,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,1,pdf,1.4610038127322362,2.3876174326223136,True,False,False,25,0.4726155369676237,39,0.03242146599950502,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,1,mle,1.455228020268779,2.402962619750801,True,False,False,25,2149.956350395165,33,0.004297503999623586,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,1,qlog,1.7536754425846457,3.277274366507589,True,False,False,25,2.790593369298386,42,0.020737540999107296,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,1,cdf,1.3944343960450027,2.1632976959103,True,False,False,25,0.00011462140027096104,36,0.037421487000756315,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,2,pdf,1.443130094994221,2.073238536156564,True,False,False,39,0.5836286183915664,36,0.003914122999049141,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,2,mle,1.414627987355671,1.9474815087063797,True,False,False,39,2261.3739564411208,39,0.0035013079996133456,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,2,qlog,1.568093749884987,2.329321532864529,True,False,False,39,0.7313841571452138,33,0.0033753309999156045,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,2,cdf,1.4447162650515508,2.0468368691652725,True,False,False,39,5.909849645805809e-05,15,0.013109404000715585,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,3,pdf,1.3955535497608043,2.0528315747973584,True,False,False,31,0.6620268894767624,39,0.0041819240013865056,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,3,mle,1.4265929035382459,2.148394982460423,True,False,False,31,2191.781264702134,36,0.006326292999801808,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,3,qlog,1.611550638032816,2.590383001115989,True,False,False,31,0.868591748835884,36,0.006211502000951441,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,3,cdf,1.4038133935806532,2.063424704162124,True,False,False,31,3.140154281995263e-05,15,0.031004062000647536,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,4,pdf,1.3745710152145978,1.8835421472485323,True,False,False,40,1.2990112760737529,36,0.003817191000052844,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,4,mle,1.35511308155357,1.8042998448384855,True,False,False,40,2201.501151849999,42,0.004291014000045834,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,4,qlog,1.523443042085309,2.1892814197365165,True,False,False,40,1.2834596721694835,36,0.006069934001061483,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,4,cdf,1.3938240574590361,1.9224135753436697,True,False,False,40,0.00011437274843071315,33,0.03693430200110015,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,5,pdf,1.3430256706815205,2.046589578325524,True,False,False,41,0.8865374738337204,39,0.0033445460012444528,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,5,mle,1.3791978175469992,2.087584826539958,True,False,False,41,2109.631777766381,36,0.0040111459984473186,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,5,qlog,1.5850198176854073,2.5817950262343627,True,False,False,41,1.0078692041817578,33,0.004274208999049733,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,5,cdf,1.3757212687140536,2.0729061510894633,True,False,False,41,2.2874735049650526e-05,15,0.027340582999386243,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,6,pdf,1.4152934669897612,2.160203718216393,True,False,False,24,0.8970816065754371,45,0.014051244999791379,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,6,mle,1.40658137607721,2.1154792778938565,True,False,False,24,2159.6344269410733,36,0.0030156270004226826,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,6,qlog,1.74759401242779,2.9818107955272946,True,False,False,24,3.0128841750836717,39,0.005590648999714176,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,6,cdf,1.416741903721124,2.142288570844903,True,False,False,24,0.00011950011430493857,33,0.0327290000004723,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,7,pdf,1.4234795208488242,2.1161270305805995,True,False,False,39,0.9811438509094709,33,0.0029957699989608955,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,7,mle,1.4214136039595455,2.0352342527055036,True,False,False,39,2233.463444594433,36,0.0028867559994978365,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,7,qlog,1.574646576038129,2.3839262100723153,True,False,False,39,0.8801681010310083,33,0.00359688400021696,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,7,cdf,1.3944816955215935,1.9543360360613535,True,False,False,39,5.8375690925469984e-05,36,0.05879958700097632,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,8,pdf,1.454557713830842,2.2571081602619296,True,False,False,27,1.1396013589683034,36,0.007240971001010621,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,8,mle,1.427734217140208,2.1892218909470413,True,False,False,27,2175.705361671873,33,0.006409702000382822,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,8,qlog,1.6462317239509867,2.7880053756134155,True,False,False,27,1.718106496396514,36,0.0043538170011743205,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,8,cdf,1.4681173537200727,2.353976414907568,True,False,False,27,2.8422093802106294e-05,36,0.5254211040009977,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,9,pdf,1.334534339573321,1.9530442022316392,True,False,False,37,0.7052138538433554,45,0.08266998500039335,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,9,mle,1.3815952674382772,2.0534746330812608,True,False,False,37,2131.5625340567117,36,0.010638359000950004,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,9,qlog,1.5339695831572477,2.399679087186,True,False,False,37,0.9269719444272145,36,0.007060804999127868,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,9,cdf,1.33250593507964,1.8992530560594671,True,False,False,37,3.7936775895463124e-05,36,0.04946118600128102,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,10,pdf,1.4438838520764123,2.246496657012724,True,False,False,34,0.6024127526504275,36,0.007630262000020593,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,10,mle,1.4191573105562503,2.1542825825204424,True,False,False,34,2171.2273516914356,36,0.00450973300030455,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,10,qlog,1.6884433024482155,2.859816787200187,True,False,False,34,1.5314958691290155,39,0.00916188900009729,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
