q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,4,20260926-0-0-0-4,40,qlog,1.48,1.7957230215106033,True,False,39,8.588592928733151,0.02762515699987489,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,50,pdf,1.4467649448795552,1.946403364680817,True,False,47,8.588592928733151,0.04720990500004518,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,4,20260926-0-0-0-4,50,qlog,1.48,1.7692803159990056,True,False,47,8.588592928733151,0.027723996999839073,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,70,pdf,1.463503062622538,1.9950197393695845,True,False,66,8.588592928733151,0.05007489800004805,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,4,20260926-0-0-0-4,70,qlog,1.48,1.7644425635675904,True,False,66,8.588592928733151,0.02754155599996011,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,100,pdf,1.4535906756354786,1.9661404635672728,True,False,94,8.588592928733151,0.043007842999941204,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,4,20260926-0-0-0-4,100,qlog,1.46,1.6088630403802864,True,False,94,8.588592928733151,0.042734913999993296,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,150,pdf,1.4538931731445373,1.966834282631257,True,False,134,8.588592928733151,0.05003651099991657,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,4,20260926-0-0-0-4,150,qlog,1.48,1.5133747002961477,True,False,134,8.588592928733151,0.04270519600004263,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,200,pdf,1.4533876235179313,1.9622989642650437,True,False,177,8.588592928733151,0.05880602199999885,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,4,20260926-0-0-0-4,200,qlog,1.48,1.3991171723919182,True,False,177,8.588592928733151,0.04733381400001235,barrido q-log; q por deviance de bins
1.5,2.0,1000,5,20260926-0-0-0-5,20,pdf,1.492865433262736,2.107891150334255,True,False,20,10.36233775214628,0.05116877000000386,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,5,20260926-0-0-0-5,20,qlog,1.6,1.813886280536441,True,False,20,10.36233775214628,0.04326578899986089,barrido q-log; q por deviance de bins
1.5,2.0,1000,5,20260926-0-0-0-5,30,pdf,1.504066782603364,2.149785969149062,True,False,29,10.36233775214628,0.04888514200001737,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,5,20260926-0-0-0-5,30,qlog,1.54,1.7452627646596734,True,False,29,10.36233775214628,0.04205057199988005,barrido q-log; q por deviance de bins
1.5,2.0,1000,5,20260926-0-0-0-5,40,pdf,1.5140493870134295,2.1688704170542503,True,False,39,10.36233775214628,0.032901460000175575,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,5,20260926-0-0-0-5,40,qlog,1.54,1.8404751960436028,True,False,39,10.36233775214628,0.027250131000073452,barrido q-log; q por deviance de bins
1.5,2.0,1000,5,20260926-0-0-0-5,50,pdf,1.515359379238984,2.1778720841649792,True,False,48,10.36233775214628,0.06181844699995054,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,5,20260926-0-0-0-5,50,qlog,1.52,1.7814767018580917,True,False,48,10.36233775214628,0.03513487600002918,barrido q-log; q por deviance de bins
1.5,2.0,1000,5,20260926-0-0-0-5,70,pdf,1.510832148103389,2.170859158636333,True,False,67,10.36233775214628,0.049540022999963185,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,5,20260926-0-0-0-5,70,qlog,1.52,1.7185213119528462,True,False,67,10.36233775214628,0.026943071999994572,barrido q-log; q por deviance de bins
